RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  1380    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  118  167     0     0  con    0  1.0E+00  5.7E+00  6.401E+02  2.857E+06
  119  168     0     0  con    0  1.0E+00  4.6E+00  4.547E+02  2.855E+06
  120  169     0     0  con    0  1.0E+00  3.1E+00  4.130E+02  2.853E+06
  121  170     0     0  con    0  1.0E+00  1.5E+00  5.063E+02  2.852E+06
  122  171     0     0  con    0  1.0E+00  2.3E+00  3.554E+02  2.851E+06
  123  172     0     0  con    0  1.0E+00  3.1E+00  2.821E+02  2.850E+06
  124  173     0     0  con    0  1.0E+00  7.3E+00  3.598E+03  2.849E+06
  125  175     0     0  con    1  3.4E-01  2.2E+00  3.284E+02  2.849E+06
  126  176     0     0  con    0  1.0E+00  1.4E+00  4.477E+02  2.848E+06
  127  177     0     0  con    0  1.0E+00  1.5E+00  3.632E+02  2.847E+06
  128  178     0     0  con    0  1.0E+00  5.8E+00  4.186E+02  2.847E+06
  129  179     0     0  con    0  1.0E+00  4.4E+00  5.971E+02  2.846E+06
  130  180     0     0  con    0  1.0E+00  3.0E+00  3.564E+02  2.844E+06
  131  181     0     0  con    0  1.0E+00  2.8E+00  4.108E+02  2.843E+06
  132  182     0     0  con    0  1.0E+00  1.9E+00  3.443E+02  2.842E+06
  133  183     0     0  con    0  1.0E+00  1.8E+00  2.854E+02  2.841E+06
  134  185     0     0  con    1  4.6E-01  2.8E+00  2.375E+02  2.840E+06
  135  186     0     0  con    0  1.0E+00  2.7E+00  3.373E+02  2.840E+06
  136  187     0     0  con    0  1.0E+00  2.7E+00  3.627E+02  2.839E+06
  137  188     0     0  con    0  1.0E+00  1.7E+00  2.194E+02  2.839E+06
  138  189     0     0  con    0  1.0E+00  1.7E+00  1.237E+02  2.838E+06
  139  190     0     0  con    0  1.0E+00  7.9E-01  2.321E+02  2.838E+06
  140  191     0     0  con    0  1.0E+00  9.2E-01  1.627E+02  2.838E+06
  141  192     0     0  con    0  1.0E+00  7.7E-01  2.013E+02  2.838E+06
  142  193     0     0  con    0  1.0E+00  1.5E+00  5.389E+02  2.838E+06
  143  194     0     0  con    0  1.0E+00  7.1E-01  1.608E+02  2.838E+06
  144  195     0     0  con    0  1.0E+00  5.5E-01  1.170E+02  2.837E+06
  145  196     0     0  con    0  1.0E+00  1.2E+00  9.789E+01  2.837E+06
  146  197     0     0  con    0  1.0E+00  1.9E+00  2.532E+02  2.837E+06
  147  198     0     0  con    0  1.0E+00  3.3E+00  2.330E+02  2.837E+06
  148  199     0     0  con    0  1.0E+00  3.4E+00  2.388E+02  2.836E+06
  149  200     0     0  con    0  1.0E+00  6.0E+00  4.423E+02  2.835E+06
  150  201     0     0  con    0  1.0E+00  1.3E+01  5.762E+02  2.833E+06
  151  204     0     0  con    2  3.5E-01  1.8E+01  8.336E+02  2.831E+06
  152  206     0     0  con    1  6.2E-02  3.6E+00  7.201E+02  2.831E+06
