step,nodes,angles,length
step 150 (to dab),dab 11 in = him 6 out,left 4 head 55 tail 109,T136.1 (35 1/8) 35
step 365 (to lip),lip 1 in = day 2 in,right 1 head 100 tail 70,T136.2 (78 5/8) 43.4
step 573 (to gym),gym 4 in = gum 3 in,left 2 head 90 tail 90,T136.3 ( 126 ) 47.2
step 549 (to pen),pen 3 in = sup 4 in,left 4 head 90 tail 90,T137.1 (49 3/8) 49.2
step 124 (to lie),lie 8 in = hog 4 out,left 7 head 58 tail 109,T137.2 (85 3/4) 36.3
step 504 (to loo),loo 6 in = die 6 out,left 3 head 79 tail 81,T137.3 ( 126 ) 40.1
step 599 (to git),git 9 in = max 4 out,right 11 head 55 tail 108,T138.1 (33 5/8) 33.5
step 454 IN! (to dot),dot.3 out = men.2 out,right 0 head 74 tail 73,T138.2 (67 3/4) 34
step 630 IN! (to din),din.2 out = her.1 out,right 0 head 90 tail 90,T138.3 (96 1/4) 28.3
step 632 (to cop),cop 5 in = toe 7 out,left 7 head 43 tail 135,T138.4 ( 126 ) 29.6
step 686 (to lit),lit 5 in = pot 4 out,left 7 head 60 tail 111,T139.1 (36 3/8) 36.3
step 536 (to pit),pit 7 in = tat 3 in,right 16 head 90 tail 90,T139.2 (79 1/2) 43
step 221 (to cry),cry 1 in = gnu 5 in,right 11 head 75 tail 78,T139.3 ( 126 ) 46.3
step 650 (to add),add 7 in = ask 6 out,left 4 head 50 tail 127,T140.1 (30 3/8) 30.2
step 598 (to git),git 8 in = pup 4 out,left 6 head 56 tail 109,T140.2 (64 1/8) 33.6
step 633 (to cop),cop 6 in = ten 3 out,left 8 head 53 tail 129,T140.3 (94 7/8) 30.6
step 678 (to gum),gum 7 in = his 6 out,left 4 head 52 tail 123,T140.4 ( 126 ) 31
step 98 (to tad),tad 4 in = pew 3 in,left 9 head 69 tail 80,T141.1 (50 1/2) 50.4
step 671 (to lop),lop 7 in = pry 4 out,left 10 head 64 tail 110,T141.2 (86 1/2) 35.8
step 541 IN! (to any),any.2 out = two.1 out,left 10 head 90 tail 90,T141.3 ( 126 ) 39.4
step 502 (to loo),loo 3 in = got 4 in,left 11 head 109 tail 57,T142.1 (54 1/2) 54.4
step 642 (to pod),pod 5 in = doe 4 out,left 8 head 58 tail 112,T142.2 (89 3/8) 34.8
step 529 (to age),age 8 in = pry 6 out,left 3 head 49 tail 110,T142.3 ( 126 ) 36.5
step 331 (to tax),tax 9 in = mar 6 out,right 0 head 56 tail 102,T143.1 ( 33 ) 32.9
step 437 (to day),day 3 in = gym 6 in,right 0 head 62 tail 98,T143.2 (76 1/2) 43.4
step 406 (to guy),guy 3 in = tag 4 in,left 6 head 65 tail 76,T143.3 ( 126 ) 49.4
step 491 (to abs),abs 4 in = get 3 in,right 3 head 71 tail 62,T144.1 (54 3/8) 54.3
step 129 (to lie),lie 13 in = are 6 out,right 10 head 54 tail 111,T144.2 (89 3/8) 34.8
step 637 (to got),got 7 in = amp 3 out,right 24 head 59 tail 125,T144.3 ( 126 ) 36.5
step 42 (to ply),ply 1 in = lob 4 in,left 2 head 68 tail 77,T145.1 (52 3/4) 52.6
step 307 (to lye),lye 9 in = are 4 out,right 2 head 57 tail 107,T145.2 (88 1/8) 35.3
step 430 (to ago),ago 4 in = pen 5 in,right 3 head 73 tail 74,T145.3 ( 126 ) 37.7
step 434 (to ago),ago 8 in = mar 7 out,right 7 head 53 tail 113,T146.1 (35 1/2) 35.3
step 661 (to tat),tat 5 in = toe 6 out,left 2 head 71 tail 120,T146.2 (78 7/8) 43.2
step 542 IN! (to any),any.3 out = pry.3 out,right 21 head 77 tail 79,T146.3 ( 126 ) 47.1
step 669 (to lop),lop 1 in = gum 2 in,right 3 head 74 tail 70,T147.1 (55 7/8) 55.8
step 420 (to lug),lug 7 in = dip 5 out,left 1 head 56 tail 112,T147.2 (90 1/2) 34.5
step 618 (to get),get 6 in = ten 4 out,right 25 head 59 tail 83,T147.3 ( 126 ) 35.4
step 445 (to dad),dad 4 in = get 2 in,right 5 head 70 tail 59,T148.1 (55 3/4) 55.7
step 107 IN! (to duh),duh.3 out = ham.4 out,right 2 head 90 tail 90,T148.2 (90 1/2) 34.5
step 655 (to sup),sup 6 in = aim 3 out,left 15 head 59 tail 108,T148.3 ( 126 ) 35.4
step 667 IN! (to tic),tic.1 out = ale.2 out,left 2 head 78 tail 79,T149.1 (33 3/8) 33.3
step 268 (to tan),tan 4 in = cut 3 in,right 4 head 69 tail 77,T149.2 (76 3/4) 43.2
step 625 (to pin),pin 1 in = got 2 in,right 16 head 90 tail 90,T149.3 ( 126 ) 49.1
step 232 (to pet),pet 4 in = lug 5 in,right 5 head 73 tail 76,T150.1 (45 3/8) 45.3
step 639 IN! (to amp),amp.1 out = die.2 out,right 22 head 78 tail 65,T150.2 (84 1/8) 38.6
step 658 IN! (to mix),mix.4 out = aim.1 out,right 3 head 71 tail 72,T150.3 ( 126 ) 41.7
step 555 (to tag),tag 2 in = git 1 in,left 1 head 76 tail 76,T151.1 (51 5/8) 51.5
step 452 (to dad),dad 12 in = her 5 out,right 13 head 57 tail 77,T151.2 (87 1/2) 35.7
step 543 IN! (to two),two.3 out = toe.3 out,right 18 head 74 tail 67,T151.3 ( 126 ) 38.4
step 635 (to got),got 1 in = lit 2 in,right 5 head 71 tail 101,T152.1 (56 7/8) 56.7
step 679 IN! (to map),map.1 out = his.2 out,left 1 head 80 tail 81,T152.2 (91 3/8) 34.4
step 690 IN! (to hay),hay.1 out = dud.2 out,right 2 head 74 tail 75,T152.3 ( 126 ) 34.5
step 474 (to lot),lot 11 in = rad 6 out,right 0 head 53 tail 103,T153.1 ( 33 ) 33
step 315 (to cut),cut 4 in = pix 1 in,right 4 head 72 tail 74,T153.2 (76 1/2) 43.3
step 304 (to lye),lye 6 in = loo 5 in,right 2 head 50 tail 71,T153.3 ( 126 ) 49.4
step 490 (to abs),abs 1 in = pit 2 in,left 3 head 102 tail 60,T154.1 (58 5/8) 58.5
step 423 (to lug),lug 10 in = hoe 4 out,right 6 head 54 tail 113,T154.2 (91 1/2) 32.7
step 522 IN! (to and),and.3 out = too.3 out,left 2 head 77 tail 77,T154.3 ( 126 ) 34.4
step 631 (to cop),cop 1 in = tat 2 in,left 12 head 90 tail 90,T155.1 (50 1/4) 50.2
step 636 (to got),got 6 in = hay 4 out,left 1 head 59 tail 128,T155.2 (86 3/8) 36
step 592 IN! (to put),put.4 out = his.3 out,right 9 head 69 tail 74,T155.3 ( 126 ) 39.5
step 280 (to cub),cub 2 in = tax 3 in,left 3 head 63 tail 76,T156.1 (53 1/2) 53.4
step 624 IN! (to hip),hip.1 out = ten.2 out,right 3 head 61 tail 64,T156.2 (88 3/4) 35.1
step 643 (to pod),pod 6 in = apt 3 out,right 11 head 60 tail 109,T156.3 ( 126 ) 37.1
step 45 (to ply),ply 5 in = dab 6 in,right 1 head 70 tail 78,T157.1 (54 1/8) 54.1
step 215 (to ace),ace 9 in = hit 5 out,right 0 head 56 tail 108,T157.2 (89 1/8) 34.8
step 126 (to lie),lie 10 in = tot 4 out,left 1 head 58 tail 113,T157.3 ( 126 ) 36.7
step 613 IN! (to pup),pup.2 out = hoe.1 out,right 0 head 90 tail 90,T158.1 (30 3/4) 30.6
step 626 (to pin),pin 5 in = amp 4 out,left 12 head 54 tail 119,T158.2 (61 7/8) 30.9
step 627 (to pin),pin 6 in = her 3 out,left 4 head 54 tail 120,T158.3 (93 3/8) 31.4
step 603 IN! (to dip),dip.1 out = max.2 out,right 0 head 90 tail 90,T158.4 ( 126 ) 32.5
step 616 (to get),get 1 in = cop 2 in,right 6 head 90 tail 90,T159.1 (48 1/4) 48.2
step 645 IN! (to too),too.1 out = doe.2 out,right 0 head 78 tail 77,T159.2 (84 3/4) 36.3
step 335 IN! (to due),due.1 out = mar.2 out,left 1 head 75 tail 74,T159.3 ( 126 ) 41.1
step 680 IN! (to his),his.1 out = mit.2 out,right 2 head 75 tail 75,T160.1 (34 1/4) 34.1
step 548 (to pen),pen 2 in = gym 1 in,right 1 head 71 tail 82,T160.2 (78 5/8) 44.3
step 662 IN! (to toe),toe.1 out = pry.2 out,left 22 head 90 tail 90,T160.3 ( 126 ) 47.2
step 687 (to lit),lit 6 in = hay 3 out,right 14 head 59 tail 111,T161.1 (35 5/8) 35.5
step 204 (to gin),gin 10 in = ham 5 out,right 14 head 64 tail 99,T161.2 (79 1/8) 43.4
step 345 (to ads),ads 2 in = abs 3 in,left 10 head 62 tail 72,T161.3 ( 126 ) 46.8
step 617 (to get),get 4 in = pin 2 in,left 7 head 90 tail 90,T162.1 (45 3/4) 45.6
step 654 (to sup),sup 5 in = hex 4 out,right 10 head 60 tail 107,T162.2 (82 1/8) 36.2
step 503 (to loo),loo 4 in = pin 3 in,right 0 head 90 tail 90,T162.3 ( 126 ) 43.7
step 641 (to pod),pod 2 in = add 1 in,right 9 head 90 tail 90,T163.1 (55 1/4) 55.1
step 638 (to got),got 8 in = die 8 out,left 8 head 46 tail 123,T163.2 (90 1/8) 34.8
step 470 (to lot),lot 7 in = met 4 out,right 10 head 58 tail 104,T163.3 ( 126 ) 35.7
step 512 (to gun),gun 2 in = tag 1 in,right 3 head 71 tail 79,T164.1 (54 1/2) 54.4
step 683 (to lid),lid 7 in = rap 6 out,right 4 head 56 tail 123,T164.2 (89 5/8) 35
step 516 (to gun),gun 8 in = tub 5 out,left 2 head 58 tail 115,T164.3 ( 126 ) 36.2
step 43 (to ply),ply 3 in = ado 6 in,left 2 head 66 tail 76,T165.1 (53 1/2) 53.3
step 559 (to tag),tag 8 in = max 5 out,left 12 head 57 tail 106,T165.2 (88 1/2) 34.9
step 282 (to cub),cub 6 in = ago 3 in,right 1 head 73 tail 76,T165.3 ( 126 ) 37.4
step 303 (to lye),lye 3 in = tar 4 in,left 15 head 79 tail 61,T166.1 (50 3/8) 50.3
step 154 IN! (to him),him.1 out = dry.2 out,right 1 head 71 tail 74,T166.2 (85 7/8) 35.3
step 363 IN! (to dib),dib.1 out = has.2 out,left 6 head 78 tail 81,T166.3 ( 126 ) 40
step 538 (to pit),pit 9 in = pry 5 out,right 5 head 62 tail 122,T167.1 ( 36 ) 35.9
step 479 (to gut),gut 1 in = ail 2 in,left 1 head 90 tail 90,T167.2 (79 5/8) 43.5
step 556 (to tag),tag 3 in = add 4 in,right 0 head 90 tail 90,T167.3 ( 126 ) 46.2
step 281 (to cub),cub 3 in = gut 6 in,right 7 head 73 tail 78,T168.1 (52 3/4) 52.6
step 309 (to lye),lye 11 in = quo 6 out,right 10 head 55 tail 104,T168.2 (87 7/8) 35
step 227 (to cry),cry 9 in = dib 6 out,left 1 head 54 tail 109,T168.3 ( 126 ) 38
step 608 (to aft),aft 6 in = die 5 out,right 5 head 76 tail 110,T169.1 (37 7/8) 37.8
step 135 (to lob),lob 6 in = cub 5 in,right 0 head 78 tail 71,T169.2 (81 5/8) 43.5
step 535 (to pit),pit 4 in = cop 3 in,left 22 head 90 tail 90,T169.3 ( 126 ) 44.3
step 647 (to add),add 2 in = pic 1 in,right 4 head 74 tail 75,T170.1 (53 5/8) 53.5
step 649 (to add),add 6 in = ale 3 out,right 11 head 58 tail 115,T170.2 (88 1/2) 34.8
step 125 (to lie),lie 9 in = had 5 out,left 4 head 58 tail 113,T170.3 ( 126 ) 37.3
step 292 (to goo),goo 6 in = abs 6 in,left 2 head 48 tail 68,T171.1 (51 7/8) 51.8
step 614 IN! (to pup),pup.3 out = dud.3 out,right 1 head 71 tail 71,T171.2 (87 1/8) 35.1
step 569 (to tee),tee 5 in = doe 3 out,right 16 head 62 tail 110,T171.3 ( 126 ) 38.7
step 596 (to git),git 6 in = lit 3 in,right 0 head 79 tail 68,T172.1 ( 52 ) 51.9
step 421 (to lug),lug 8 in = mob 5 out,left 3 head 56 tail 113,T172.2 (86 3/4) 34.5
step 657 IN! (to hex),hex.2 out = mix.1 out,right 0 head 78 tail 75,T172.3 ( 126 ) 39.2
step 656 (to sup),sup 7 in = mix 7 out,right 3 head 61 tail 109,T173.1 (44 3/4) 44.6
step 558 (to tag),tag 7 in = ask 5 out,left 4 head 57 tail 107,T173.2 (80 1/4) 35.4
step 594 (to git),git 2 in = aft 1 in,right 4 head 74 tail 75,T173.3 ( 126 ) 45.6
step 519 (to gun),gun 11 in = apt 5 out,left 7 head 51 tail 116,T174.1 ( 32 ) 31.9
step 80 (to act),act 5 in = pew 6 in,right 7 head 74 tail 80,T174.2 ( 72 ) 39.8
step 544 (to ail),ail 3 in = sup 1 in,left 2 head 69 tail 74,T174.3 ( 126 ) 53.9
step 100 (to tad),tad 7 in = tow 5 out,left 8 head 55 tail 121,T175.1 (33 3/8) 33.2
step 673 IN! (to pry),pry.1 out = tin.2 out,left 9 head 77 tail 77,T175.2 (73 1/4) 39.7
step 663 (to pic),pic 2 in = lit 1 in,left 1 head 73 tail 76,T175.3 ( 126 ) 52.7
step 314 (to cut),cut 1 in = lot 4 in,left 3 head 73 tail 77,T176.1 (54 5/8) 54.5
step 600 (to git),git 10 in = dud 4 out,right 9 head 55 tail 108,T176.2 ( 89 ) 34.2
step 660 (to tat),tat 4 in = pry 7 out,left 1 head 50 tail 115,T176.3 ( 126 ) 36.9
step 583 IN! (to hey),hey.4 out = rap.3 out,right 0 head 70 tail 74,T177.1 ( 44 ) 43.9
step 451 (to dad),dad 11 in = dot 5 out,right 5 head 56 tail 79,T177.2 (79 3/8) 35.2
step 109 (to tab),tab 4 in = pet 3 in,right 7 head 72 tail 77,T177.3 ( 126 ) 46.5
step 659 (to tat),tat 1 in = lop 2 in,left 15 head 65 tail 90,T178.1 ( 46 ) 45.9
step 579 (to gym),gym 12 in = arc 6 out,left 15 head 54 tail 106,T178.2 (80 7/8) 34.7
step 357 (to gnu),gnu 3 in = ail 1 in,right 10 head 73 tail 74,T178.3 ( 126 ) 45
step 567 (to tee),tee 2 in = pod 1 in,right 9 head 73 tail 72,T179.1 ( 57 ) 56.9
step 341 (to coy),coy 7 in = mad 5 out,left 11 head 55 tail 122,T179.2 (90 3/4) 33.5
step 622 IN! (to maw),maw.1 out = hip.2 out,right 0 head 78 tail 79,T179.3 ( 126 ) 35.2
step 525 (to age),age 2 in = pit 1 in,left 17 head 90 tail 90,T180.1 (44 1/8) 44
step 273 (to tan),tan 10 in = dub 5 out,right 3 head 56 tail 117,T180.2 (79 5/8) 35.3
step 550 (to pen),pen 6 in = lid 3 in,right 2 head 90 tail 90,T180.3 ( 126 ) 46.2
step 688 (to lit),lit 7 in = dud 6 out,left 3 head 56 tail 120,T181.1 (34 1/2) 34.4
step 640 IN! (to die),die.3 out = hay.2 out,left 19 head 90 tail 90,T181.2 (74 1/4) 39.6
step 572 (to gym),gym 3 in = lid 4 in,right 0 head 90 tail 90,T181.3 ( 126 ) 51.6
step 653 (to sup),sup 2 in = lid 1 in,left 11 head 90 tail 90,T182.1 ( 54 ) 53.9
step 485 (to gut),gut 10 in = tip 5 out,right 4 head 55 tail 113,T182.2 (88 3/8) 34.1
step 615 IN! (to hoe),hoe.2 out = die.1 out,right 20 head 90 tail 90,T182.3 ( 126 ) 37.6
step 429 (to ago),ago 1 in = gut 2 in,left 2 head 75 tail 83,T183.1 (39 7/8) 39.8
step 312 IN! (to tot),tot.2 out = dot.1 out,right 1 head 79 tail 78,T183.2 (75 5/8) 35.6
step 480 (to gut),gut 4 in = pen 1 in,left 10 head 74 tail 69,T183.3 ( 126 ) 50.3
step 226 (to cry),cry 8 in = tie 4 out,left 4 head 55 tail 120,T184.1 ( 33 ) 32.9
step 36 (to tea),tea 5 in = ply 7 in,left 2 head 76 tail 67,T184.2 (79 3/8) 46.2
step 377 (to pie),pie 3 in = tee 1 in,left 17 head 72 tail 74,T184.3 ( 126 ) 46.6
step 6 (to cot),cot 5 in = gig 6 in,left 3 head 76 tail 71,T185.1 (39 7/8) 39.7
step 489 IN! (to tip),tip.3 out = mix.3 out,right 4 head 75 tail 71,T185.2 (79 7/8) 39.9
step 1 (CC triagle),cot 1 in = aby 2 in,right 0 head 90 tail 90,T185.3 ( 126 ) 46.1
step 442 IN! (to top),top.3 out = arc.3 out,right 2 head 90 tail 90,T186.1 (34 1/8) 34
step 634 IN! (to ten),ten.1 out = toe.2 out,left 13 head 90 tail 90,T186.2 (74 1/4) 39.9
step 675 (to gum),gum 1 in = lid 2 in,right 0 head 90 tail 90,T186.3 ( 126 ) 51.7
